Calories,"Protein
(g)","Total Fat
(g)","Carbs
(g)","Sugars
(g)","Sodium 
(mg)","Trans Fat
(g)",Protein_per_Calorie,Fat_per_Calorie,Carbs_per_Calorie,Company_Burger King,Company_KFC,Company_McDonald’s,Company_Pizza Hut,Company_Taco Bell,Company_Wendy’s,Item,Company
10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Regular Iced Coffee,Taco Bell
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Water,Taco Bell
150.0,0.0,0.0,41.0,41.0,40.0,0.0,0.0,0.0,0.2733333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Wild Strawberry Freeze™ (16 oz),Taco Bell
190.0,0.0,0.0,51.0,51.0,55.0,0.0,0.0,0.0,0.26842105263157895,0.0,0.0,0.0,0.0,1.0,0.0,Wild Strawberry Freeze™ (20 oz),Taco Bell
430.0,12.0,19.0,51.0,3.0,970.0,0.0,0.027906976744186046,0.044186046511627906,0.1186046511627907,0.0,0.0,0.0,0.0,1.0,0.0,Beef Burrito – Value Menu,Taco Bell
420.0,10.0,16.0,56.0,3.0,880.0,0.0,0.023809523809523808,0.0380952380952381,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Cheesy Bean & Rice Burrito – Value Menu,Taco Bell
180.0,9.0,9.0,15.0,1.0,430.0,0.0,0.05,0.05,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Cheesy Roll Up – Value Menu,Taco Bell
190.0,12.0,9.0,15.0,1.0,530.0,0.0,0.06315789473684211,0.04736842105263158,0.07894736842105263,0.0,0.0,0.0,0.0,1.0,0.0,Chicken Chipotle Melt – Value Menu,Taco Bell
220.0,2.0,13.0,24.0,2.0,250.0,0.0,0.00909090909090909,0.05909090909090909,0.10909090909090909,0.0,0.0,0.0,0.0,1.0,0.0,Chips and Nacho Cheese Sauce – Value Menu,Taco Bell
170.0,1.0,6.0,27.0,13.0,210.0,0.0,0.0058823529411764705,0.03529411764705882,0.1588235294117647,0.0,0.0,0.0,0.0,1.0,0.0,Cinnamon Twists – Value Menu,Taco Bell
250.0,10.0,12.0,24.0,2.0,610.0,0.0,0.04,0.048,0.096,0.0,0.0,0.0,0.0,1.0,0.0,Loaded Nacho Taco – Value Menu,Taco Bell
350.0,13.0,9.0,54.0,3.0,1000.0,0.0,0.037142857142857144,0.025714285714285714,0.15428571428571428,0.0,0.0,0.0,0.0,1.0,0.0,Bean Burrito,Taco Bell
330.0,10.0,15.0,39.0,3.0,430.0,0.0,0.030303030303030304,0.045454545454545456,0.11818181818181818,0.0,0.0,0.0,0.0,1.0,0.0,Black Bean Chalupa,Taco Bell
510.0,13.0,17.0,77.0,6.0,1080.0,0.0,0.025490196078431372,0.03333333333333333,0.15098039215686274,0.0,0.0,0.0,0.0,1.0,0.0,Black Bean Crunchwrap Supreme,Taco Bell
630.0,19.0,29.0,73.0,5.0,1260.0,0.0,0.03015873015873016,0.046031746031746035,0.11587301587301588,0.0,0.0,0.0,0.0,1.0,0.0,Black Bean Quesarito,Taco Bell
170.0,4.0,3.5,31.0,0.0,320.0,0.0,0.023529411764705882,0.020588235294117647,0.18235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,Black Beans & Rice,Taco Bell
470.0,19.0,25.0,37.0,2.0,990.0,0.5,0.04042553191489362,0.05319148936170213,0.07872340425531915,0.0,0.0,0.0,0.0,1.0,0.0,Cheese Quesadilla,Taco Bell
420.0,10.0,16.0,56.0,3.0,880.0,0.0,0.023809523809523808,0.0380952380952381,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Cheesy Bean & Rice Burrito,Taco Bell
180.0,9.0,9.0,15.0,1.0,430.0,0.0,0.05,0.05,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Cheesy Roll Up,Taco Bell
220.0,2.0,13.0,24.0,2.0,250.0,0.0,0.00909090909090909,0.05909090909090909,0.10909090909090909,0.0,0.0,0.0,0.0,1.0,0.0,Chips and Nacho Cheese Sauce,Taco Bell
160.0,2.0,9.0,17.0,10.0,80.0,0.0,0.0125,0.05625,0.10625,0.0,0.0,0.0,0.0,1.0,0.0,Cinnabon® Delights™ (2 Pack),Taco Bell
930.0,9.0,53.0,104.0,59.0,480.0,2.0,0.00967741935483871,0.05698924731182796,0.11182795698924732,0.0,0.0,0.0,0.0,1.0,0.0,Cinnabon® Delights™ (12 Pack – Serves 4),Taco Bell
170.0,1.0,6.0,27.0,13.0,210.0,0.0,0.0058823529411764705,0.03529411764705882,0.1588235294117647,0.0,0.0,0.0,0.0,1.0,0.0,Cinnamon Twists,Taco Bell
160.0,1.0,12.0,13.0,0.0,270.0,0.0,0.00625,0.075,0.08125,0.0,0.0,0.0,0.0,1.0,0.0,Hash Brown,Taco Bell
